simulacion_id,num_puertas,premio,eleccion_inicial,puerta_abierta,estrategia,resultado
353,3,2,0,1,No cambiar,0
354,3,0,2,1,No cambiar,0
355,3,2,0,1,No cambiar,0
356,3,2,2,0,No cambiar,1
357,3,0,1,2,No cambiar,0
358,3,1,2,0,No cambiar,0
359,3,1,2,0,No cambiar,0
360,3,0,0,2,No cambiar,1
361,3,1,2,0,No cambiar,0
362,3,2,1,0,No cambiar,0
363,3,0,2,1,No cambiar,0
364,3,1,2,0,No cambiar,0
365,3,2,1,0,No cambiar,0
366,3,1,1,2,No cambiar,1
367,3,1,1,2,No cambiar,1
368,3,2,1,0,No cambiar,0
369,3,1,1,0,No cambiar,1
370,3,2,0,1,No cambiar,0
371,3,2,2,1,No cambiar,1
372,3,2,0,1,No cambiar,0
373,3,1,2,0,No cambiar,0
374,3,1,0,2,No cambiar,0
375,3,2,1,0,No cambiar,0
376,3,1,1,0,No cambiar,1
377,3,2,1,0,No cambiar,0
378,3,0,1,2,No cambiar,0
379,3,1,2,0,No cambiar,0
380,3,1,2,0,No cambiar,0
381,3,0,1,2,No cambiar,0
382,3,1,2,0,No cambiar,0
383,3,2,0,1,No cambiar,0
384,3,0,1,2,No cambiar,0
385,3,1,0,2,No cambiar,0
386,3,1,1,0,No cambiar,1
387,3,0,2,1,No cambiar,0
388,3,2,2,0,No cambiar,1
389,3,1,0,2,No cambiar,0
390,3,2,0,1,No cambiar,0
391,3,0,2,1,No cambiar,0
392,3,2,1,0,No cambiar,0
393,3,2,1,0,No cambiar,0
394,3,2,2,1,No cambiar,1
395,3,2,0,1,No cambiar,0
396,3,0,2,1,No cambiar,0
397,3,1,1,0,No cambiar,1
398,3,0,1,2,No cambiar,0
399,3,1,1,0,No cambiar,1
400,3,2,2,0,No cambiar,1
401,3,2,1,0,No cambiar,0
402,3,1,2,0,No cambiar,0
403,3,0,2,1,No cambiar,0
404,3,2,2,1,No cambiar,1
405,3,1,2,0,No cambiar,0
406,3,0,1,2,No cambiar,0
407,3,1,0,2,No cambiar,0
408,3,2,1,0,No cambiar,0
409,3,2,0,1,No cambiar,0
410,3,0,1,2,No cambiar,0
411,3,2,1,0,No cambiar,0
412,3,0,2,1,No cambiar,0
413,3,0,0,1,No cambiar,1
414,3,0,1,2,No cambiar,0
415,3,0,0,2,No cambiar,1
416,3,1,2,0,No cambiar,0
417,3,1,1,2,No cambiar,1
418,3,1,1,2,No cambiar,1
419,3,2,2,1,No cambiar,1
420,3,2,1,0,No cambiar,0
421,3,0,2,1,No cambiar,0
422,3,2,1,0,No cambiar,0
423,3,2,0,1,No cambiar,0
424,3,0,2,1,No cambiar,0
425,3,0,2,1,No cambiar,0
426,3,0,0,2,No cambiar,1
427,3,1,2,0,No cambiar,0
428,3,0,0,2,No cambiar,1
429,3,1,1,2,No cambiar,1
430,3,0,1,2,No cambiar,0
431,3,0,1,2,No cambiar,0
432,3,0,1,2,No cambiar,0
433,3,1,1,0,No cambiar,1
434,3,2,0,1,No cambiar,0
435,3,1,2,0,No cambiar,0
436,3,1,1,2,No cambiar,1
437,3,1,2,0,No cambiar,0
438,3,0,2,1,No cambiar,0
439,3,2,2,0,No cambiar,1
440,3,0,0,1,No cambiar,1
441,3,0,0,1,No cambiar,1
442,3,2,2,1,No cambiar,1
443,3,0,2,1,No cambiar,0
444,3,1,0,2,No cambiar,0
445,3,0,1,2,No cambiar,0
446,3,1,2,0,No cambiar,0
447,3,2,1,0,No cambiar,0
448,3,2,0,1,No cambiar,0
449,3,0,1,2,No cambiar,0
450,3,2,2,0,No cambiar,1
451,3,2,1,0,No cambiar,0
452,3,2,0,1,No cambiar,0
453,3,1,0,2,No cambiar,0
454,3,0,1,2,No cambiar,0
455,3,0,0,2,No cambiar,1
456,3,2,2,1,No cambiar,1
457,3,0,2,1,No cambiar,0
458,3,0,2,1,No cambiar,0
459,3,2,0,1,No cambiar,0
460,3,2,2,0,No cambiar,1
461,3,2,2,0,No cambiar,1
462,3,0,1,2,No cambiar,0
463,3,1,2,0,No cambiar,0
464,3,2,1,0,No cambiar,0
465,3,2,1,0,No cambiar,0
466,3,0,2,1,No cambiar,0
467,3,2,0,1,No cambiar,0
468,3,1,0,2,No cambiar,0
469,3,2,1,0,No cambiar,0
470,3,2,1,0,No cambiar,0
471,3,1,1,0,No cambiar,1
472,3,1,0,2,No cambiar,0
473,3,1,0,2,No cambiar,0
474,3,0,1,2,No cambiar,0
475,3,1,2,0,No cambiar,0
476,3,2,2,0,No cambiar,1
477,3,0,1,2,No cambiar,0
478,3,0,1,2,No cambiar,0
479,3,1,1,0,No cambiar,1
480,3,1,0,2,No cambiar,0
481,3,2,1,0,No cambiar,0
482,3,0,0,1,No cambiar,1
483,3,0,1,2,No cambiar,0
484,3,1,0,2,No cambiar,0
485,3,2,2,0,No cambiar,1
486,3,1,1,2,No cambiar,1
487,3,0,2,1,No cambiar,0
488,3,0,1,2,No cambiar,0
489,3,0,2,1,No cambiar,0
